Ticker,Date,Open,High,Low,Close,Volume
QGMD,2020-05-14,1.2100,1.2800,1.0840,1.1150,12993436
QGMD,2020-05-17,1.1330,1.2250,1.0200,1.0400,13673041
QGMD,2020-05-18,1.0400,1.0710,0.9600,0.9650,5070356
QGMD,2020-05-19,0.9710,1.0610,0.9300,1.0610,13070191
QGMD,2020-05-20,1.1480,1.1580,1.0350,1.0650,17800892
QGMD,2020-05-21,1.0600,1.1250,1.0230,1.0560,9568302
QGMD,2020-05-31,1.0730,1.1190,1.0700,1.0780,2648508
QGMD,2020-06-01,1.1000,1.1000,0.9770,1.0500,3722344
QGMD,2020-06-02,1.0370,1.0630,1.0200,1.0490,3195420
QGMD,2020-06-03,1.0580,1.1530,1.0380,1.1530,13323819
QGMD,2020-06-04,1.2000,1.2600,1.1500,1.2150,41262248
QGMD,2020-06-07,1.2590,1.2930,1.2400,1.2630,12573677
QGMD,2020-06-08,1.2640,1.2700,1.2120,1.2270,10768143
QGMD,2020-06-09,1.2280,1.2280,1.1500,1.1530,7082956
QGMD,2020-06-10,1.1790,1.2350,1.1490,1.1810,11460179
QGMD,2020-06-11,1.1920,1.2100,1.1640,1.1730,3125374
QGMD,2020-06-14,1.1740,1.1940,1.1700,1.1810,1694155
QGMD,2020-06-15,1.1650,1.2340,1.1640,1.2000,12468257
QGMD,2020-06-16,1.2100,1.2220,1.1770,1.1860,4136511
QGMD,2020-06-17,1.1860,1.2100,1.1720,1.1850,4563995
QGMD,2020-06-18,1.1940,1.1950,1.1800,1.1880,2533286
QGMD,2020-06-21,1.1800,1.2090,1.1800,1.1850,3876913
QGMD,2020-06-22,1.1810,1.2500,1.1700,1.2380,23759410
QGMD,2020-06-23,1.2500,1.2990,1.2210,1.2280,25904188
QGMD,2020-06-24,1.2270,1.2550,1.1950,1.2400,15140541
QGMD,2020-06-25,1.2340,1.2790,1.2200,1.2420,19348152
QGMD,2020-06-28,1.2450,1.2900,1.2450,1.2590,16078613
QGMD,2020-06-29,1.2840,1.2840,1.2340,1.2410,4156314
QGMD,2020-06-30,1.2410,1.2740,1.2200,1.2670,10006249
QGMD,2020-07-01,1.2730,1.3100,1.2430,1.2690,6589696
QGMD,2020-07-02,1.2890,1.2890,1.2550,1.2660,3948922
QGMD,2020-07-05,1.2700,1.2760,1.2510,1.2600,3615750
QGMD,2020-07-06,1.2720,1.2720,1.2520,1.2640,1929850
QGMD,2020-07-07,1.2550,1.2550,1.2220,1.2360,2854944
QGMD,2020-07-08,1.2500,1.2550,1.2000,1.2360,5733547
QGMD,2020-07-09,1.2380,1.3590,1.2370,1.3590,22941000
QGMD,2020-07-12,1.3980,1.4940,1.3650,1.4940,22687296
QGMD,2020-07-13,1.6000,1.6430,1.5620,1.6430,6590945
QGMD,2020-07-14,1.7990,1.8070,1.7780,1.8070,8511704
QGMD,2020-07-15,1.9000,1.9000,1.6330,1.7100,29687352
QGMD,2020-07-16,1.7310,1.8000,1.7300,1.7660,11145811
QGMD,2020-07-19,1.7990,1.9100,1.7700,1.8570,18241252
QGMD,2020-07-20,1.8990,2.0420,1.8950,2.0420,28092728
QGMD,2020-07-21,2.1000,2.2460,2.1000,2.2460,30650382
QGMD,2020-07-22,2.3000,2.3000,2.0220,2.0220,35959892
QGMD,2020-07-23,2.0000,2.2000,1.9020,2.1600,45694604
QGMD,2020-07-26,2.1800,2.2970,2.0900,2.2700,32381508
QGMD,2020-07-27,2.2990,2.3750,2.2700,2.2940,7393347
QGMD,2020-07-28,2.2950,2.5020,2.2710,2.4500,28879864
QGMD,2020-07-29,2.5900,2.6010,2.3300,2.3680,32223250
QGMD,2020-08-05,2.4350,2.4350,2.3270,2.3370,3479673
QGMD,2020-08-06,2.3500,2.3500,2.1510,2.2450,8825109
QGMD,2020-08-09,2.2510,2.4690,2.2500,2.4690,23052386
QGMD,2020-08-10,2.5490,2.6900,2.5070,2.6250,33413660
QGMD,2020-08-11,2.6320,2.6780,2.6250,2.6280,13557780
QGMD,2020-08-12,2.6340,2.6800,2.6310,2.6500,10815225
QGMD,2020-08-13,2.6600,2.7100,2.6500,2.7040,14681539
QGMD,2020-08-16,2.7000,2.7000,2.4520,2.5500,24579324
QGMD,2020-08-17,2.5770,2.5800,2.4550,2.4770,10680389
QGMD,2020-08-18,2.4650,2.5600,2.4650,2.4910,5309574
QGMD,2020-08-19,2.5000,2.5200,2.4510,2.4550,1933600
QGMD,2020-08-20,2.4550,2.4550,2.4010,2.4490,2432667
QGMD,2020-08-23,2.4490,2.5470,2.4490,2.5030,6344581
QGMD,2020-08-24,2.5470,2.5600,2.4900,2.5600,6438750
QGMD,2020-08-25,2.5700,2.5990,2.5410,2.5540,5361581
QGMD,2020-08-26,2.5600,2.5700,2.5160,2.5470,3094440
QGMD,2020-08-27,2.5240,2.5830,2.4760,2.5170,8843068
QGMD,2020-08-30,2.5210,2.5490,2.5120,2.5240,2067245
QGMD,2020-08-31,2.5110,2.5680,2.5110,2.5500,7480210
QGMD,2020-09-01,2.5500,2.5680,2.5310,2.5550,3909532
QGMD,2020-09-02,2.5600,2.6400,2.5600,2.6250,10551551
QGMD,2020-09-03,2.6360,2.6400,2.5850,2.6150,6263664
QGMD,2020-09-06,2.6000,2.6100,2.5500,2.5800,2746356
QGMD,2020-09-07,2.5850,2.6600,2.5850,2.6500,9733537
QGMD,2020-09-08,2.6680,2.6700,2.5900,2.6090,11022789
QGMD,2020-09-09,2.6090,2.6130,2.5020,2.5280,8509079
QGMD,2020-09-10,2.5200,2.5440,2.4950,2.5310,3131611
QGMD,2020-09-13,2.5500,2.5650,2.4500,2.5550,11121585
QGMD,2020-09-14,2.5990,2.6050,2.5250,2.5700,5163076
QGMD,2020-09-15,2.5690,2.7000,2.5200,2.6850,16688549
QGMD,2020-09-16,2.6850,2.7800,2.6150,2.7030,13276439
QGMD,2020-09-17,2.7390,2.7450,2.6730,2.6880,2593298
QGMD,2020-09-20,2.6860,2.6900,2.6020,2.6150,2917543
QGMD,2020-09-21,2.6150,2.6150,2.3900,2.3900,17560734
QGMD,2020-09-22,2.4000,2.4550,2.1900,2.3900,3655401
QGMD,2020-09-23,2.3900,2.4300,2.2820,2.3010,1676471
QGMD,2020-09-24,2.3000,2.3000,2.0720,2.1450,8873103
QGMD,2020-09-27,2.1700,2.1700,1.9650,2.1010,2617426
QGMD,2020-09-28,2.1470,2.1960,2.0520,2.1790,4284052
QGMD,2020-09-29,2.1930,2.2580,2.1800,2.2000,3973385
QGMD,2020-09-30,2.1990,2.2200,2.0760,2.1610,2239542
QGMD,2020-10-01,2.2000,2.3770,2.1620,2.3770,18252144
QGMD,2020-10-04,2.3920,2.4950,2.3110,2.3760,10076325
